Sample	Category	
air	air	
air (envo:00002005); chicken farm	air	
air conditioning system	air	
air conditioning systems	air	
air contaminant	air	
air filter sample from the payload hazardous servicing facility located at the kennedy space center	air	
air from a glass-crusher air plate	air	
air from the international space station (iss)	air	
air of cow shed	air	
air sac swab	air	
air sample	air	
air sample from hospital environment	air	
air; hospital	air	
airway	air	
airway from a patient with cystic fibrosis	air	
airway secretion	air	
airway specimen	air	
airways	air	
airways, nasal	air	
airways, upper respiratory tract	air	
contaminant from air	air	
upper atmosphere	air	
high-altitude air sample	air	
2-year-old male dog	animal	
3 year old ardennes stallion, pre-breeding tests	animal	
326 fecal, 351 small intestinal contents and 326 colon contents samples of healthy pigs	animal	
8 day old calf, liver sample	animal	
a healthy broiler chicken at farm	animal	
abalone	animal	
aborted bos taurus (cow) fetus (year: 1994, place: tandil, argentina)	animal	
abscess of a sheep	animal	
abscess of mastitis from a bovine	animal	
abscess of sheep with cla	animal	
acromyrmex echinatior ants from gamboa, panama	animal	
acute hepatopancreas necrosis disease infected shrimp revealed that the strain is not vibrio parahaemolyticus but a close species to v	animal	
acutely infected cow from northern idaho and bears an msp1a genotype of jbb	animal	
adult deer tick, ixodes dammini,	animal	
adult mosquito gut	animal	
african bullfrog (pyxicephalus edulis)	animal	
albacore tuna-anal vent	animal	
alimentary canal material of japanese corbicula clams	animal	
alimentary tract of littleneck clams	animal	
alpine goat rumen	animal	
amazonian leaf-cutter ants	animal	
amphipods collected from the challenger deep of the mariana trench on april 3, 2012	animal	
anguilla japonica	animal	
animal	animal	
animal - avian	animal	
animal - avian-environment swab	animal	
animal - avian-yolk sac	animal	
animal - bovine-liver	animal	
animal - chicken	animal	
animal - chicken broiler	animal	
animal - chicken broiler growers	animal	
animal - chicken brooder	animal	
animal - chicken growers	animal	
animal - chicken-cecum	animal	
animal - chicken-egg	animal	
animal - chicken-environment swab	animal	
animal - chicken-feces	animal	
animal - chicken-fluff	animal	
animal - chicken-fluff (hatchery)	animal	
animal - chicken-litter	animal	
