genome_id	isolation_source	host_name	Environment
887324.3	airways, nasal	Human, Homo sapiens	air
1385930.3	airway from a patient with cystic fibrosis	Human, Homo sapiens	air
119219.13	air filter sample from the Payload Hazardous Servicing Facility located at the Kennedy Space Center	Human, Homo sapiens	air
1134819.3	airways	Human, Homo sapiens	air
1134824.3	airways	Human, Homo sapiens	air
887327.3	airways, nasal	Human, Homo sapiens	air
573.1953	Airway specimen	Human, Homo sapiens	air
287.3725	Airway secretion	Human, Homo sapiens	air
287.3734	Airway secretion	Human, Homo sapiens	air
287.3729	Airway secretion	Human, Homo sapiens	air
287.3728	Airway secretion	Human, Homo sapiens	air
287.3726	Airway secretion	Human, Homo sapiens	air
287.3727	Airway secretion	Human, Homo sapiens	air
287.373	Airway secretion	Human, Homo sapiens	air
287.3735	Airway secretion	Human, Homo sapiens	air
287.3724	Airway secretion	Human, Homo sapiens	air
287.3714	Airway secretion	Human, Homo sapiens	air
287.3719	Airway secretion	Human, Homo sapiens	air
287.372	Airway secretion	Human, Homo sapiens	air
287.3722	Airway secretion	Human, Homo sapiens	air
287.3721	Airway secretion	Human, Homo sapiens	air
287.3717	Airway secretion	Human, Homo sapiens	air
287.3715	Airway secretion	Human, Homo sapiens	air
287.3718	Airway secretion	Human, Homo sapiens	air
287.3716	Airway secretion	Human, Homo sapiens	air
287.4036	Airway secretion	Human, Homo sapiens	air
287.3713	Airway secretion	Human, Homo sapiens	air
1134842.3	airway	Human, Homo sapiens	air
1415164.3	air; hospital	Human, Homo sapiens	air
889204.3	airways	Human, Homo sapiens	air
888048.3	airways, upper respiratory tract	Human, Homo sapiens	air
521.3	air sac swab	Nymphicus hollandicus	air
202956.9	Air sample from hospital environment		air
1377.3	Air sample		air
1121028.3	Air sample		air
293387.3	air		air
1053220.3	Air		air
1053222.3	Air		air
1396.668	Air from the International Space Station (ISS)		air
1396.665	Air		air
1396.666	Air		air
1224748.3	upper atmosphere		air
87883.78	air		air
87883.65	air		air
1718.48	air		air
594679.4	air conditioning systems		air
1542390.3	Air conditioning system		air
1121957.3	air		air
1385519.3	air		air
446860.3	air		air
1423822.7	air of cow shed		air
1423822.8	air of cow shed		air
1827324.3	Air		air
912594.3	Air		air
1562889.3	air		air
1827323.3	Air		air
1163393.3	air from a glass-crusher air plate		air
158627.6	Air		air
47885.9	Air		air
317.297	air		air
53972.3	air contaminant		air
37927.3	contaminant from air		air
1385368.3	air		air
1413362.3	Air (ENVO:00002005); Chicken farm		air
29388.46	Air		air
29388.45	air		air
29382.4	Air		air
1290.21	air		air
47951.4	Feces	Abalone, Haliotis	animal
212663.3	feces	Abalone, Haliotis	animal
1885028.4	Acromyrmex echinatior ants from Gamboa, Panama	Acromyrmex echinatior	animal
1885029.4	Acromyrmex echinatior ants from Gamboa, Panama	Acromyrmex echinatior	animal
1885030.4	Acromyrmex echinatior ants from Gamboa, Panama	Acromyrmex echinatior	animal
1885031.4	Acromyrmex echinatior ants from Gamboa, Panama	Acromyrmex echinatior	animal
1885032.4	Acromyrmex echinatior ants from Gamboa, Panama	Acromyrmex echinatior	animal
1885033.4	Acromyrmex echinatior ants from Gamboa, Panama	Acromyrmex echinatior	animal
1885034.4	Acromyrmex echinatior ants from Gamboa, Panama	Acromyrmex echinatior	animal
1885035.4	Acromyrmex echinatior ants from Gamboa, Panama	Acromyrmex echinatior	animal
1885572.4	Acromyrmex echinatior ants from Gamboa, Panama	Acromyrmex echinatior	animal
1885573.4	Acromyrmex echinatior ants from Gamboa, Panama	Acromyrmex echinatior	animal
889487.3	leafcutter ant Acromyrmex octospinosus	Acromyrmex octospinosus	animal
1410655.3	feces	Adelie penguin, Pygoscelis adeliae	animal
1905758.3	Cloacal swab	Agrionemys horsfieldii	animal
562.22224	Abcess	Ailuropoda melanoleuca	animal
661.15	albacore tuna-anal vent	Albacore, Thunnus alalunga	animal
661.8	albacore tuna-anal vent	Albacore, Thunnus alalunga	animal
661.16	albacore tuna-anal vent	Albacore, Thunnus alalunga	animal
661.14	albacore tuna-anal vent	Albacore, Thunnus alalunga	animal
661.9	albacore tuna-anal vent	Albacore, Thunnus alalunga	animal
318456.6	albacore tuna-anal vent	Albacore, Thunnus alalunga	animal
318456.4	albacore tuna-anal vent	Albacore, Thunnus alalunga	animal
318456.3	albacore tuna-anal vent	Albacore, Thunnus alalunga	animal
318456.7	albacore tuna-anal vent	Albacore, Thunnus alalunga	animal
47917.17	intestinal tract content of a 9000-year-old elk (Alces alces) from permafrost on the Omoloy river	Alces alces	animal
1768115.3	Rumen fluid	Alces alces	animal
1768114.3	Rumen fluid	Alces alces	animal
1768112.3	Rumen fluid	Alces alces	animal
1768113.3	Rumen fluid	Alces alces	animal
1507806.12	chelonian	Aldabrachelys gigantea	animal
1291307.3	Mus spretus	Algerian mouse, Mus spretus	animal
1291234.3	Mus spretus	Algerian mouse, Mus spretus	animal
747682.4	the synovium of an American alligator	Alligator, Alligator mississippiensi	animal
44283.6	lungs of dead pneumonia animals	Alpaca, Vicugna pacos	animal
1110504.5	lung lesions of a dead ibex	Alpine ibex, Capra ibex	animal
1179777.3	Rocky Mountain Goat and four Alpine Ibexes from the USA and from Germany, respectively; Rocky mountain goat: Alpone ibexes	Alpine ibex, Capra ibex	animal
598659.3	epidermis of Alvinella pompejan	Alvinella pompejan	animal
325775.3	Lab reared ticks from Oklahoma StateUniversity's tick rearing facility	Amblyomma americanum	animal
1397702.5	salivary glands of ticks harvested from a human host	Amblyomma triguttatum triguttatum	animal
1328357.3	Bison; field isolate	American bison, Bison bison	animal
1220026.3	dead buffalo during an outbreak of hemorrhagic septicaemia	American bison, Bison bison	animal
1408.131	feces from crow roost	American crow, Corvus brachyrhynchos	animal
562.22079	Cloacae	Anas platyrhynchos	animal
656.6	diseased elver	Anguilla anguilla	animal
1643443.3	Adult mosquito gut	Anopheles minimus	animal
40324.267	whole mosquito body	Anopheles stephensi	animal
615.395	midgut content	Anopheles stephensi (mosquito)	animal
750.15	cloacae	Anser sp.	animal
562.21626	cecum	Anserini	animal
882856.4	Amazonian leaf-cutter ants	Ant, Acromyrmex octospinosus	animal
1690815.5	exoskeleton of ant	Ant, Apsterostigma	animal
1612552.4	marine sponge	Antho dichotoma	animal
224915.9	aphid, Baizongia pistaciae	Aphid, Baizongia pistaciae	animal
372461.17	cedar aphid, Cinara cedri	Aphid, Cinara cedri	animal
198804.5	aphid, Schizaphis graminum	Aphid, Schizaphis graminum	animal
1510841.8	honey bee larvae	Apis mellifera	animal
1510841.7	hindgut	Apis mellifera	animal
1661387.3	sponge	Aplysina aerophoba	animal
909625.3	sponge	Aplysina aerophoba	animal
281362.7	earthworm gut	Aporrectodea caliginosa	animal
1641402.3	Exoskeleton of ant	Apterostigma	animal
1688404.3	exoskeleton of ant	Apterostigma dentigerum	animal
1096856.3	exoskeleton of ant	Apterostigma dentigerum	animal
1096868.3	exoskeleton of ant	Apterostigma dentigerum	animal
29491.19	sick fish	Arctic char, Salvelinus alpinus	animal
1365188.4	Chicken	Argas persicus	animal
1647102.3	larvae	Argopecten purpuratus	animal
981383.3	the dead ark clam during the mass mortality event	Ark clam	animal
981384.3	isolated from an ark clam in the South Sea of Korea	Ark clam	animal
116598.26	adult and 5th instar psyllids of mixed genders	Asian citrus psyllid	animal
2340.19	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.11	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.18	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.17	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.45	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.47	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.48	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.5	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.49	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.51	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.39	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.4	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.41	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.55	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.57	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.56	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.58	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.6	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.59	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.61	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.42	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.52	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.62	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.53	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.43	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.44	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.54	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.38	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.63	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.34	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.35	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.36	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.37	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.46	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.14	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.2	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.16	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.12	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.13	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.21	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.15	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.22	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.23	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.25	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.24	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.26	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.27	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.28	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.29	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.3	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.31	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.32	gill tissue	Atlantic awning clam, Solemya velum	animal
2340.33	gill tissue	Atlantic awning clam, Solemya velum	animal
519049.1	the puffin (Fratercula arctica) blood from the Faeroe Islands	Atlantic Puffin, Fratercula arctica	animal
29486.83	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.88	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.89	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.9	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.91	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.96	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.99	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.71	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.72	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.73	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.64	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.65	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.74	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.75	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.53	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.55	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.102	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.101	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.62	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.85	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.81	Fish hatchery	Atlantic salmon, Salmo salar	animal
29486.86	Fish hatchery	Atlantic salmon, Salmo salar	animal
1163745.3	stranded wild Atlantic white-sided dolphin	Atlantic White-sided Dolphin, Lagenorhynchus acutus	animal
1193059.3	Bos primigenius	Aurochs, Bos primigenius	animal
1401689.3	chicken clinically diagnosed with colibacillosis	avian	animal
989403.3	marine sponge	Axinella dissimilis	animal
989396.3	marine sponge	Axinella dissimilis	animal
989397.3	marine sponge	Axinella dissimilis	animal
989410.3	marine sponge	Axinella dissimilis	animal
989422.3	marine sponge	Axinella dissimilis	animal
989432.3	marine sponge	Axinella dissimilis	animal
989436.3	marine sponge	Axinella dissimilis	animal
1735583.3	marine sponge	Axinella dissimilis	animal
1735585.3	marine sponge	Axinella dissimilis	animal
252393.12	larvae gut	Bactrocera oleae	animal
1003202.3	Bandicoot rats (Bandicota sp	Bandicoot rat, Bandicota sp	animal
1404.49	droppings of bar-headed goose	bar-headed goose	animal
1633200.3	hindgut of Cryptocercus punctulatus	Barbulanympha sp.	animal
1633201.3	hindgut of Cryptocercus punctulatus	Barbulanympha sp.	animal
1633202.3	hindgut of Cryptocercus punctulatus	Barbulanympha sp.	animal
1633203.3	hindgut of Cryptocercus punctulatus	Barbulanympha sp.	animal
1429916.3	fruit bat held in captivity suffering from necrosis of its wing	Bat, Pteropus giganteus	animal
1284675.3	gill	Bathymodiolus heckerae	animal
1784822.3	midgut	Bathynomus giganteus	animal
